char,minx,maxx,miny,maxy,text_id,page
 ,57.375,64.881,716.6909999999999,743.691,1,0
A,64.881,82.89,716.6909999999999,743.691,1,0
 ,82.89,90.396,716.6909999999999,743.691,1,0
S,90.396,108.405,716.6909999999999,743.691,1,0
i,108.405,114.399,716.6909999999999,743.691,1,0
m,114.399,136.89,716.6909999999999,743.691,1,0
p,136.89,151.902,716.6909999999999,743.691,1,0
l,151.902,157.896,716.6909999999999,743.691,1,0
e,157.89600000000002,172.90800000000002,716.6909999999999,743.691,1,0
 ,172.90800000000002,180.41400000000002,716.6909999999999,743.691,1,0
P,180.414,198.423,716.6909999999999,743.691,1,0
D,198.423,217.917,716.6909999999999,743.691,1,0
F,217.917,234.414,716.6909999999999,743.691,1,0
 ,234.414,241.92,716.6909999999999,743.691,1,0
F,241.92,258.417,716.6909999999999,743.691,1,0
i,258.417,264.41099999999994,716.6909999999999,743.691,1,0
l,264.41099999999994,270.405,716.6909999999999,743.691,1,0
e,270.405,285.417,716.6909999999999,743.691,1,0
 ,285.417,292.923,716.6909999999999,743.691,1,0
 ,69.25,72.03,686.5379999999999,696.5379999999999,2,0
T,72.03,78.14,686.5379999999999,696.5379999999999,2,0
h,78.14,83.7,686.5379999999999,696.5379999999999,2,0
i,83.7,85.92,686.5379999999999,696.5379999999999,2,0
s,85.92,90.92,686.5379999999999,696.5379999999999,2,0
 ,90.92,93.7,686.5379999999999,696.5379999999999,2,0
i,93.7,95.92,686.5379999999999,696.5379999999999,2,0
s,95.92,100.92,686.5379999999999,696.5379999999999,2,0
 ,100.92,103.7,686.5379999999999,696.5379999999999,2,0
a,103.7,109.26,686.5379999999999,696.5379999999999,2,0
 ,109.26,112.04,686.5379999999999,696.5379999999999,2,0
s,112.04,117.04,686.5379999999999,696.5379999999999,2,0
m,117.04,125.37,686.5379999999999,696.5379999999999,2,0
a,125.37,130.93,686.5379999999999,696.5379999999999,2,0
l,130.93,133.15,686.5379999999999,696.5379999999999,2,0
l,133.15,135.37,686.5379999999999,696.5379999999999,2,0
 ,135.37,138.15,686.5379999999999,696.5379999999999,2,0
d,138.15,143.71,686.5379999999999,696.5379999999999,2,0
e,143.71,149.27,686.5379999999999,696.5379999999999,2,0
m,149.27,157.60000000000002,686.5379999999999,696.5379999999999,2,0
o,157.60000000000002,163.16000000000003,686.5379999999999,696.5379999999999,2,0
n,163.16000000000003,168.72000000000003,686.5379999999999,696.5379999999999,2,0
s,168.72000000000003,173.72000000000003,686.5379999999999,696.5379999999999,2,0
t,173.72000000000003,176.50000000000003,686.5379999999999,696.5379999999999,2,0
r,176.5,179.83,686.5379999999999,696.5379999999999,2,0
a,179.83,185.39000000000001,686.5379999999999,696.5379999999999,2,0
t,185.39000000000001,188.17000000000002,686.5379999999999,696.5379999999999,2,0
i,188.17000000000002,190.39000000000001,686.5379999999999,696.5379999999999,2,0
o,190.39000000000001,195.95000000000002,686.5379999999999,696.5379999999999,2,0
n,195.95000000000002,201.51000000000002,686.5379999999999,696.5379999999999,2,0
 ,201.51000000000002,204.29000000000002,686.5379999999999,696.5379999999999,2,0
.,204.29000000000002,207.07000000000002,686.5379999999999,696.5379999999999,2,0
p,207.07000000000002,212.63000000000002,686.5379999999999,696.5379999999999,2,0
d,212.63000000000002,218.19000000000003,686.5379999999999,696.5379999999999,2,0
